crypto_name,date,price,market_cap,volume,ingestion_timestamp
ethereum,2026-02-13 13:02:40.701,1959.8571311255914,236833716399.64612,18859565548.004757,2026-03-03 01:20:38.901304
ethereum,2026-02-13 14:02:21.714,1969.4632078213647,237987565801.17535,19322217456.529026,2026-03-03 01:20:38.901305
ethereum,2026-02-13 15:02:10.823,1987.9534956837406,239915033890.7237,21318050564.58338,2026-03-03 01:20:38.901306
ethereum,2026-02-13 16:02:05.881,2033.243788075006,244864809752.21912,21534337136.514256,2026-03-03 01:20:38.901307
ethereum,2026-02-13 17:00:01.005,2067.442271983571,249398177040.66675,20756953867.734737,2026-03-03 01:20:38.901308
ethereum,2026-02-13 18:00:13.757,2059.1921332707257,248533415375.9028,20670932652.29246,2026-03-03 01:20:38.901308
ethereum,2026-02-13 19:00:03.218,2059.792323691696,248510393714.0987,19558675574.885765,2026-03-03 01:20:38.901309
ethereum,2026-02-13 20:02:39.981,2057.5760820341234,248589911878.39798,20936973698.01809,2026-03-03 01:20:38.901310
ethereum,2026-02-13 21:02:52.285,2044.869223652202,246628426505.09,20895343806.2439,2026-03-03 01:20:38.901311
ethereum,2026-02-13 22:03:40.496,2052.4719110100755,247364401346.02692,20458445744.80174,2026-03-03 01:20:38.901312
ethereum,2026-02-13 23:01:35.292,2051.7763397653516,247448293072.37323,21080676866.585773,2026-03-03 01:20:38.901313
ethereum,2026-02-14 00:01:43.299,2048.1151118994317,247247974371.8545,19765684402.79289,2026-03-03 01:20:38.901314
ethereum,2026-02-14 01:02:35.045,2053.588472479615,247926850870.09067,20367339468.902855,2026-03-03 01:20:38.901314
ethereum,2026-02-14 02:00:42.552,2053.4667489193457,247817539288.92502,19480982784.82173,2026-03-03 01:20:38.901315
ethereum,2026-02-14 03:01:17.454,2048.6834326292333,247172871506.61356,19277519537.566372,2026-03-03 01:20:38.901316
ethereum,2026-02-14 04:02:49.413,2053.41122655476,247924767148.86438,19095237046.21988,2026-03-03 01:20:38.901317
ethereum,2026-02-14 05:02:18.132,2052.6141726769733,247764734864.94498,18826543133.11503,2026-03-03 01:20:38.901318
ethereum,2026-02-14 06:02:45.119,2050.06927073198,247524615383.27307,18630970703.90067,2026-03-03 01:20:38.901319
ethereum,2026-02-14 07:02:30.982,2052.5378781354375,247756364914.54614,18470712565.500557,2026-03-03 01:20:38.901319
ethereum,2026-02-14 08:03:23.952,2056.234436965675,248167787382.181,18042413554.619957,2026-03-03 01:20:38.901320
ethereum,2026-02-14 09:03:24.419,2081.2982997616573,251180463788.2942,18036193794.150032,2026-03-03 01:20:38.901321
ethereum,2026-02-14 10:02:19.191,2077.6480661017667,250866431898.7833,19214009866.69449,2026-03-03 01:20:38.901322
ethereum,2026-02-14 11:03:23.351,2076.1209722743774,250485061931.44867,18201584975.39406,2026-03-03 01:20:38.901323
ethereum,2026-02-14 12:00:49.901,2098.0705197513307,253278574746.36868,17620536813.28861,2026-03-03 01:20:38.901324
ethereum,2026-02-14 13:03:47.573,2070.6913409074987,250175335140.737,20767024737.48135,2026-03-03 01:20:38.901324
ethereum,2026-02-14 14:03:05.621,2070.4537401631915,249778102586.5363,20611036651.352787,2026-03-03 01:20:38.901325
